Date,Lift,Weight
11/10/2020,Bench,145
16/10/2020,Bench,155
24/10/2020,Bench,155
31/10/2020,Bench,155
04/11/2020,Bench,155
10/11/2020,Bench,155
17/11/2020,Bench,155
22/11/2020,Bench,165
26/11/2020,Bench,155
03/12/2020,Bench,155
13/12/2020,Bench,165
14/02/2021,Bench,145
19/02/2021,Bench,155
24/02/2021,Bench,155
02/03/2021,Bench,155
08/03/2021,Bench,155
15/03/2021,Bench,165
19/03/2021,Bench,165
25/03/2021,Bench,165
31/03/2021,Bench,165
08/04/2021,Bench,165
12/04/2021,Bench,165
21/04/2021,Bench,175
27/04/2021,Bench,175
04/05/2021,Bench,175
12/05/2021,Bench,175
19/05/2021,Bench,175
